location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",9.193416833877563,"µg/m³","2025-05-09T15:00:00Z","2025-05-09T22:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",8.811041514078775,"µg/m³","2025-05-09T16:00:00Z","2025-05-09T23:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",5.962791641553243,"µg/m³","2025-05-09T17:00:00Z","2025-05-10T00:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",4.174583335717519,"µg/m³","2025-05-09T18:00:00Z","2025-05-10T01:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",3.1170833309491477,"µg/m³","2025-05-09T19:00:00Z","2025-05-10T02:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",2.6836666464805603,"µg/m³","2025-05-09T20:00:00Z","2025-05-10T03:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",2.2831666668256125,"µg/m³","2025-05-09T21:00:00Z","2025-05-10T04:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",2.787541667620341,"µg/m³","2025-05-09T22:00:00Z","2025-05-10T05:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",0.8425416853278875,"µg/m³","2025-05-09T23:00:00Z","2025-05-10T06:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",0.6915833341578642,"µg/m³","2025-05-10T00:00:00Z","2025-05-10T07:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",0.490666667620341,"µg/m³","2025-05-10T01:00:00Z","2025-05-10T08:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",1.2724166711171467,"µg/m³","2025-05-10T02:00:00Z","2025-05-10T09:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",2.7916666666666665,"µg/m³","2025-05-10T03:00:00Z","2025-05-10T10:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",4.362541655699412,"µg/m³","2025-05-10T04:00:00Z","2025-05-10T11:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",5.282624959945679,"µg/m³","2025-05-10T05:00:00Z","2025-05-10T12:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",7.339916706085205,"µg/m³","2025-05-10T06:00:00Z","2025-05-10T13:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",10.838541666666666,"µg/m³","2025-05-10T07:00:00Z","2025-05-10T14:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",14.925583283106485,"µg/m³","2025-05-10T08:00:00Z","2025-05-10T15:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",16.858041763305664,"µg/m³","2025-05-10T09:00:00Z","2025-05-10T16:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",18.333916505177815,"µg/m³","2025-05-10T10:00:00Z","2025-05-10T17:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",18.170416673024494,"µg/m³","2025-05-10T11:00:00Z","2025-05-10T18:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",19.035125096638996,"µg/m³","2025-05-10T12:00:00Z","2025-05-10T19:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",19.7030831972758,"µg/m³","2025-05-10T13:00:00Z","2025-05-10T20:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",19.488333702087402,"µg/m³","2025-05-10T14:00:00Z","2025-05-10T21:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",18.097208340962727,"µg/m³","2025-05-10T15:00:00Z","2025-05-10T22:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",15.413833379745483,"µg/m³","2025-05-10T16:00:00Z","2025-05-10T23:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",13.579749981562296,"µg/m³","2025-05-10T17:00:00Z","2025-05-11T00:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",12.460124969482422,"µg/m³","2025-05-10T18:00:00Z","2025-05-11T01:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",11.636624892552694,"µg/m³","2025-05-10T19:00:00Z","2025-05-11T02:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
4322233,"បន្ទប់កិច្ចការសង្គម","pm1",11.059624989827475,"µg/m³","2025-05-10T20:00:00Z","2025-05-11T03:00:00+07:00","Asia/Phnom_Penh",11.598675,104.8013326,,,,"AirGradient","AirGradient"
